id,checkpoint,description,lecturer,videourl,objective,Question,Answer,position,mediafire,tags,lesson,topic,seab,subject
214,Our Capital Account - An Understanding Of Our Country's Finances,In Singapore FDI and financial investments are the main items in the capital account due to our nature as SEA's financial hub,openlectures,http://youtu.be/RnP96R0YOJc,Understand that investment forms the main item in the capital account,What can cause changes in the capital account?,Changes in ownership of assets causes fluctuations in the capital account. This includes foreign direct investment like buildings or manufacturing plants. This also includes portfolio investment like purchases of shares and bonds. ,3,http://www.mediafire.com/?6ori56q19j9mvh2,,Balance of Payments,Key Economic Indicators,Key Economic Indicators,Economics
215,A Matter Of Definitions,"For examinations sake, just consider the financial account under the capital account; you can never go wrong",openlectures,http://youtu.be/9SWcDAWvR9U,Distinguish between different defintions of the items in the BOP,What are the two primary components of your BOP?,"Current and Capital Account. The IMF adds a third ""Financial Account"", but in convention we usually include it under Capital Account.",4,http://www.mediafire.com/?844w3y275xa099q,,Balance of Payments,Key Economic Indicators,Key Economic Indicators,Economics
216,Standard Of Living,The idea here is to understand how most questions are structured: most have some sort of preamble about GDP numbers being a proxy for SOL; the obvious thing to do is to bring in non-material factors as proxies for the anti thesis.,openlectures,http://youtu.be/kv_f516awDk,Understand that SOL can be measured in terms of material and non material well being,What are the two ways in which Standard of Living can be described by?,Material and Non-Material Standard of Living,1,http://www.mediafire.com/?4ubdso3tddxhwst,,Material and Non-Material Wellbeing,Standard of Living,Key Economic Indicators,Economics
217,Welfare Of The Materialistic Person - Material SOL,The idea here is to understand that every part of RGDP per capita is important.,openlectures,http://youtu.be/qnOVkUXgQkI,Understand that we measure material well being using real GDP per capita ,Real GDP per Capita - what is the significance of every word in this term?,"Real implies that inflation has been accounted for. If GDP increases but only nominally (ie. it is all eaten up by inflation and you can only buy the same amount of stuff as before) then you are no better off than you were. GDP implies that your SOL is closely tied to your purchasing power. Indeed, your purchasing power is a good proxy to your SOL. Your healthcare, education, and material well being is closely related to how much money you have. Per capita matters because even if you have a large GDP, having a larger population will dilute the large GDP into very small portions for each person in your country.",2,http://www.mediafire.com/?ylybkjsyk0b6r5y,,Material and Non-Material Wellbeing,Standard of Living,Key Economic Indicators,Economics
218,The Long Term View On High Real GDP,An increase in real GDP per capita can in fact lead to a decrease in the material SOL in the long run as resources are depleted.,openlectures,http://youtu.be/Q2pFlXy745o,Understand that real GDP per capita is only one of the main proxies with which we use to measure material SOL,There are many other indices we can use to measure standard of living. What are some that you can find?,We suggest you begin by looking at the Human Development Index. Google it!,3,http://www.mediafire.com/?c2ztfzd0487c0bz,,Material and Non-Material Wellbeing,Standard of Living,Key Economic Indicators,Economics
219,Looking At The Finer Things - Non-Material SOL,It is generally not the job of Economics to measure non-material SOL; but nevertheless non-material SOL can be measured using alternative and more holistic indices such as the HDI etc.,openlectures,http://youtu.be/CTLz-R-HNKY,Understand that non-material SOL also plays an important part in helping us gauge the overall SOL of a country,Suggest other indicators of non-material SOL.,Consider what non-material SOL means to you.,4,http://www.mediafire.com/?ag6s72e7yguyld7,,Material and Non-Material Wellbeing,Standard of Living,Key Economic Indicators,Economics
220,Standard Of Living Question,This question is rather labourious but rewards hardworking students who are willing to put in the effort to understand what is necessary in answering the question; there is a strict structure to the answer.,openlectures,http://youtu.be/IOHi_RSa_fc,Identifying SOL questions,Try drafting an essay outline.,Using the structure that we have provided!,1,http://www.mediafire.com/?1fnkvjv9pa21i1r,,Question Analysis,Standard of Living,Key Economic Indicators,Economics
221,This House Believes That...,One must be cognisant of the fact that what is given in the question can vary (nominal GDP etc) so one must vary one's answer according to how one thinks other factors will change and hence finally affect the real GDP per capita,openlectures,http://youtu.be/SI_h-RYdAqs,Use material SOL or (the opposite) to support the thesis.,Try drafting an essay outline.,Using the structure that we have provided!,2,http://www.mediafire.com/?45ef7pfokld409w,,Question Analysis,Standard of Living,Key Economic Indicators,Economics
222,On The Other Hand...,"Most of the the time, the question will ask you to argue for why the material SOL has decrease/increased. Following these lines of thought, the anti-thesis is then the opposite: how non-material SOL factors can lead to an opposing change in SOL.",openlectures,http://youtu.be/gzQ_Tpl1eD8,Use material SOL or (the opposite) to support the anti-thesis.,Try drafting an essay outline.,Using the structure that we have provided!,3,http://www.mediafire.com/?ymj5zjmlvby4x4a,,Question Analysis,Standard of Living,Key Economic Indicators,Economics
223,Exception,"One must realise that ultimately one cannot spot all exam questions, so a sound understanding of concepts is ultimately what is more important than simply hoping for what is one of the most common questions to come out - smart teachers can always produce iterations that can catch regurgitators unaware.",openlectures,http://youtu.be/zbxoszdvy9c,Understanding that answering the question matters for exams,Remember:,Always read the question. And read it again (because you are usually wrong the first time).,4,http://www.mediafire.com/?g2a8rbdduad0jaa,,Question Analysis,Standard of Living,Key Economic Indicators,Economics
224,Lofty Goals,"We always need barometers. In microeconomics we have efficiency. In macroeconomics we have 4 indicators: the inflation rate, the unemployment rate, economic growth, as well as the balance of payments.",openlectures,http://youtu.be/eBCBcptA5I0,List the 4 macroeconomic goals,What are the 4 macroeconomic goals?,"Sustained economic growth, low stable inflation, low unemployment, and external stability.",1,http://www.mediafire.com/?s86ws4mbmsa340g,,Varying Unemployment,Main Macroeconomic Goals,How The Macroeconomy Works,Economics
225,How Unemployment Varies,Let's start with unemployment. What can cause unemployment to change?,openlectures,http://youtu.be/jEknI5dODa4,Understand causes of unemployment,What causes unemployment?,Demand deficient (cyclical) unemployment and structural unemployment are only two ways that cause unemployment.,2,http://www.mediafire.com/?ft7ercsx2bns7q2,,Varying Unemployment,Main Macroeconomic Goals,How The Macroeconomy Works,Economics
226,Underutilisation Of Resources,"So what's so bad about unemployment? You can just go take a holiday right? That's if you can even afford it. But there are worse things than not getting an income during unemployment. First, let's look at resources.",openlectures,http://youtu.be/50QCUSpBNx4,Understand that unemployment is bad because resources are being underutilised.,"In turn, why is the underutilisation of resources bad?",The opportunity cost of lost production are permanent! It cannot simply be reclaimed (unless you have a time machine of course).,3,http://www.mediafire.com/?vmdw4kq61u1xjxx,,Varying Unemployment,Main Macroeconomic Goals,How The Macroeconomy Works,Economics
227,Deskilling,"Second, when workers stop working for too long, they lose their skills and gradually exit the labour force. Their skills turn rusty as well.",openlectures,http://youtu.be/Vj8aD7sNbeY,Understand that unemployment is bad because workers tend to lose their skills,What happens to workers after prolonged periods of unemployment?,"They lose their skills, become disenchanted, and exit the labour force.",4,http://www.mediafire.com/?22bbgtyyd09h18d,,Varying Unemployment,Main Macroeconomic Goals,How The Macroeconomy Works,Economics
228,Falling Tax Revenues,"Third, if people don't work, they don't earn income. They can't pay taxes and the government loses out on tax revenue.",openlectures,http://youtu.be/nCMpfnqajrM,Understand that unemployment is bad because it lowers tax revenue,"If workers cannot earn income, what happens to tax revenue?","It drops because without income, there'd be no income tax receipts.",5,http://www.mediafire.com/?abocra35wmhu3di,,Varying Unemployment,Main Macroeconomic Goals,How The Macroeconomy Works,Economics
229,Rising Inflation,"Let's move on to inflation. First, let's see what causes inflation.",openlectures,http://youtu.be/7O7DGXui2T8,Understand that interaction between the AD and AS causes inflation.,"Interaction of the Aggregate Demand and Aggregate Supply (you'll learn those in a while. For now, think of them as demand and supply for the entire economy) contributes to inflation. Hence inflation can be caused by either...",AD (demand side) or AS (supply side).,1,http://www.mediafire.com/?6xxp47y26hprayu,,Bad Inflation,Main Macroeconomic Goals,How The Macroeconomy Works,Economics
230,Loss Of Export Competitiveness,"So what's bad about inflation? First, it erodes the export competitiveness of the country that experiences high inflation.",openlectures,http://youtu.be/6LWKBru1PfM,Understand that high inflation erodes export competitiveness,How can high inflation adversely affect countries?,"When relative inflation rates in a country are higher than those of exporting partners, exports become relative more expensive and imports become relatively cheaper; this may lead to a worsening trade position, which can lead to a fall in NY.",2,http://www.mediafire.com/?326m6m2wtd9co61,,Bad Inflation,Main Macroeconomic Goals,How The Macroeconomy Works,Economics
231,Allocative Inefficiency,"Second, erratic inflation confuses people. It confuses producers too. Let's see what that implies.",openlectures,http://youtu.be/Nw-60RKm2S0,Understand that highly erratic inflation causes allocative inefficiency.,How can fluctuating inflation adversely affect countries?,"Producers may perceive changes in price levels and changes in demand. This may lead them to over or under produce, causing allocative inefficiency.",3,http://www.mediafire.com/?6caw2k7xea5s442,,Bad Inflation,Main Macroeconomic Goals,How The Macroeconomy Works,Economics
232,Menu Costs,"If you are a restaurant owner and inflation changes prices all the time, you have to print your menu every week! That may incur small printing costs because you only operate a sushi bar, but what if you're a large producer (like IKEA) that maintains a huge range of products? That will be a significant cost.",openlectures,http://youtu.be/tL0ooUdxUqc,Understand that highly erratic inflation causes producers to incur menu costs.,How can fluctuating inflation affect menu costs?,It increases menu costs because producers have to change their prices often.,4,http://www.mediafire.com/?q1p7qoagnpf79dv,,Bad Inflation,Main Macroeconomic Goals,How The Macroeconomy Works,Economics
233,Grow Grow Grow,Let's move on to economic growth. We can distinguish between the two types of economic growth - actual and potential.,openlectures,http://youtu.be/EZ61iQqZSdc,Distinguish between actual and potential growth,What are the two types of economic growth?,Actual economic growth represents the fact that there is an actual increase in output; whereas potential economic growth represents an increase in the productive capacity of the economy.,1,http://www.mediafire.com/?psbo8e4abv93tia,,Actual and Potential Growth,Main Macroeconomic Goals,How The Macroeconomy Works,Economics
234,Actual Growth,Let's look at the first type of economic growth - actual growth. Why is actual growth important?,openlectures,http://youtu.be/yUa-cdHlaHE,Understand the importance of actual economic growth,Why is actual economic growth important?,"It gives consumers more purchasing power (to buy more things. And more things are usually good!) It also allows more people to be employed, preventing all the bad things about unemployment from happening. Do you still remember what those are?",2,http://www.mediafire.com/?gl3e2tg365cbjwg,,Actual and Potential Growth,Main Macroeconomic Goals,How The Macroeconomy Works,Economics
235,Potential Growth,Time for the second type of economic gowth - potential growth. Why is potential growth important?,openlectures,http://youtu.be/B86j4GK4nTo,Understand the importance of potential economic growth,Why is potential economic growth important?,"Imagine pouring water into a bottle. If the bottle doesn't become bigger and water keeps flowing in, eventually it will overflow. In economics, the water is actual growth. The bottle is economic potential. Inflation happens when the water overflows (trying to fit too much water in a small bottle). Potential growth makes the bottle bigger, allowing more water to flow in. In economic terms, it prevents the economy from overheating.",3,http://www.mediafire.com/?44g5fsjr25ttlaj,,Actual and Potential Growth,Main Macroeconomic Goals,How The Macroeconomy Works,Economics
236,Healthy Numbers,We move to Balance of Payments. Two scenarios can occur for balance of payments - deficit and surplus.,openlectures,http://youtu.be/5n2r0z9Ie38,Understand that BOP surplus is usually preferable to BOP deficit,Which is preferable? BOP surplus or deficit?,Usually the surplus. Problems associated with the deficit are much more severe.,1,http://www.mediafire.com/?aqp57483e9cfg84,,BOP Deficits and Surpluses,Main Macroeconomic Goals,How The Macroeconomy Works,Economics
237,BOP Deficit,Let's see why the balance of payment deficit can bad thing. ,openlectures,http://youtu.be/H4Pe3mnzuMo,Understand how BOP deficits can be bad for the economy,How can BOP deficits be bad for an ecoomy?,"It can cause imported inflation. Underlying a BOP deficit can be a trade problem. Finally, it will deplete one's foreign reserves. However, a BOP deficit may not always be bad, especially when a country is investing overseas, hence making a loss in the short run (and profiting in the long run).",2,http://www.mediafire.com/?0y102295w763h99,,BOP Deficits and Surpluses,Main Macroeconomic Goals,How The Macroeconomy Works,Economics
238,BOP Surplus,Let's see why the balance of payment surplus can be a bad thing too.,openlectures,http://youtu.be/iqMPEcEa-vI,Understand how BOP surpluses can be bad for the economy,How can BOP surpluses be bad for an economy?,"It leads to the appreciation of a country's exchange rate, eroding export competitiveness by making exports more expensive. It may also represent a short term inflow of money which may indicate speculative attack.",3,http://www.mediafire.com/?ek6yhnn6m6me89q,,BOP Deficits and Surpluses,Main Macroeconomic Goals,How The Macroeconomy Works,Economics
239,The Circle Of Life (or Economics),This part will show how money moves in a simple economy consisting of households and firms,openlectures,http://youtu.be/Dpw0MCBBRzc,Explain the principles of the circular flow and how it works,How does money flow in a simplified economy?,"Money flows from households to firms in the form of payment for goods and services, and vice versa through income payments like wages. ",1,http://www.mediafire.com/?y4zdp0frq1wbep2,,The Circular Flow of Income,"National Income, Aggregate Demand and Supply, National Expenditure",How The Macroeconomy Works,Economics
240,Components Of A 4-Sector Economy,Here you will see how money moves in a more complex economy,openlectures,http://youtu.be/5nqOtsNt32k,Define the 4-sector economy and the circular flow of income,How does the circular flow look like in a more real-world economy?,"Other sectors, like the government, financial institutions, and the external sector, are found in a more realistic representation of an economy.",2,http://www.mediafire.com/?az38y6yov88off9,,The Circular Flow of Income,"National Income, Aggregate Demand and Supply, National Expenditure",How The Macroeconomy Works,Economics
241,Determining National Income,A brief look at how national income is determined,openlectures,http://youtu.be/tm35tW_9OMU,"Explain the various ways national income is calculated, and the fundamental identify of national income accounting",How is national income calculated?,"One way to determine Y is to add up all expenditure on final output by summing up C, G, I and (X-M), though there are many other ways. ",3,http://www.mediafire.com/?gdrjw64fkyqq5d0,,The Circular Flow of Income,"National Income, Aggregate Demand and Supply, National Expenditure",How The Macroeconomy Works,Economics
242,From Small To Big,This part will distinguish the AD/AS model from the demand and supply model of microeconomics,openlectures,http://youtu.be/-_DU2HMkWaQ,Distinguish micro from macroeconomics by showing how AD and AS is determined and how the curves look like,What sets micro and macro econs apart?,The process of aggregation in macroeconomics allows us to look at the big picture: the economy as a whole.,1,http://www.mediafire.com/?744rdvsxz1widcl,,Aggregate Demand,"National Income, Aggregate Demand and Supply, National Expenditure",How The Macroeconomy Works,Economics
243,Aggregate Demand - The Curve,What exactly is the AD curve and why does it look the way it does?,openlectures,http://youtu.be/TlwoVFok6Vo,Define the components of AD and understand the shape of the AD curve,What does the AD curve look like?,"The shape of the AD curve is identical to the demand curve in microeconomics, but the axes it lies on is different.",2,http://www.mediafire.com/?si1uz6019t0pq26,,Aggregate Demand,"National Income, Aggregate Demand and Supply, National Expenditure",How The Macroeconomy Works,Economics
244,Factors That Cause A Shift In The AD Curve,This part will show what factors will lead to a movement in the AD curve,openlectures,http://youtu.be/8MywxfJ58M0,List the factors that cause a shift in the AD curve,What factors would cause the AD curve to shift?,"The main factors are changes in expectations, government policies and the external sector.",3,http://www.mediafire.com/?zem5fwerwmjv153,,Aggregate Demand,"National Income, Aggregate Demand and Supply, National Expenditure",How The Macroeconomy Works,Economics
245,Aggregate Supply - The Curve,This part will explain why the AS curve has such a unique look.,openlectures,http://youtu.be/ngagD_iT9xk,"Define and explain the Keynesian, Classical and intermediate range of the curve.",How do you explain the shape of the AS curve.,"The AS curve is made up of three distinct ranges: the Keynesian, Classical and Intermediate range.",4,http://www.mediafire.com/?7duekh8akmd7db4,,Aggregate Supply,"National Income, Aggregate Demand and Supply, National Expenditure",How The Macroeconomy Works,Economics
246,Movements In The AS Curve,The AS curve shifts in a more complex manner than the AD curve. ,openlectures,http://youtu.be/3-HEYyd_fdQ,Explain how upward or leftward etc shifts in the AS are caused,"How does the AS curve shift, and what factors cause such movements?","Movements up or down in the Keynesian range are caused by changes in the cost of production, whilst movements left or right in the classical range are caused by changes in productive capacity. ",5,http://www.mediafire.com/?a3n3lj544nfmapx,,Aggregate Supply,"National Income, Aggregate Demand and Supply, National Expenditure",How The Macroeconomy Works,Economics
247,Simultaneous Movements,"In the real world, the AS and AD shift simultaneously. What are the effects then?",openlectures,http://youtu.be/CzMnxcr66us,Explain how the AS curve can shift both rightwards and downwards. ,Must up/down and left/right movements be mutually exclusive?,"No, certain changes in the economy can cause simulations outward or inward shifts in the AS. ",6,http://www.mediafire.com/?ak74ap3la5cqb1x,,Aggregate Supply,"National Income, Aggregate Demand and Supply, National Expenditure",How The Macroeconomy Works,Economics
248,Attaining Zen (Now On A Bigger Scale),The main goal of inputting changes in AD and AS is to deduce or estimate changes in the General Price Level or Equilibirum Level of Output. This is how.,openlectures,http://youtu.be/uNBzeU6CQMU,"Explain how equilibrium national output is determined, and the adjustment process",How is equilibrium national income determined?,An automatic adjustment process determines the equilibrium national income of an economy.,1,http://www.mediafire.com/?5e1st2s8mm0ysth,,Equilibrium Level of Output and Price,"National Income, Aggregate Demand and Supply, National Expenditure",How The Macroeconomy Works,Economics
249,Keynesian Model Of Income Determination,"Classical theory looks at AD and AS similar to the diagrams we use for microeconomics, but Keynes identified an alternative way of determining income levels in the nation based on Aggregate Expenditure and expectations - two things unique to the marcoeconomic perspective",openlectures,http://youtu.be/TYtfxrjbqb0,State the assumptions of the AE model and axis of the graph,What is AE and how is it different from AD/AS?,"The Keynesian model looks and aggregate expenditure rather than demand, and is thus an upward sloping curve. There is also no equivalent of the AS curve in this model.",2,http://www.mediafire.com/?sws92i4luhy2cg2,,Equilibrium Level of Output and Price,"National Income, Aggregate Demand and Supply, National Expenditure",How The Macroeconomy Works,Economics
250,Meeting The Budget,Why is there a difference between planned and actual?,openlectures,http://youtu.be/JSqhaQlvCGs,Differentiate between planned and actual AE,Why is there a difference between planned and actual?,"Not all the money one plans to spend will actually be spent. Similarly, not all the money an economy anticipates will be spent is actually spent. ",3,http://www.mediafire.com/?r6fg2q02o511hdk,,Equilibrium Level of Output and Price,"National Income, Aggregate Demand and Supply, National Expenditure",How The Macroeconomy Works,Economics
251,The AE-Income Approach Of Income Determination,How the AE model works,openlectures,http://youtu.be/Wve59EkOHHg,Explain how AE model can be used to determine equilibrium output,How do we use the AE model to determine equilibrium national income?,"By plotting a line that represents actual expenditure, we can find the equilibrium level of national income, which is the intersection point of the two lines.",4,http://www.mediafire.com/?hqtnf3zg5lukboo,,Equilibrium Level of Output and Price,"National Income, Aggregate Demand and Supply, National Expenditure",How The Macroeconomy Works,Economics
252,What Goes Around Comes Around,Why does my spending $1 have such a disproportionately larger impact on the economy? ,openlectures,http://youtu.be/n4EJAg3-ebQ,Define the multiplier effect precisely and explain why it happens ,Why does my spending $1 have such a disproportionately larger impact on the economy?,"This is because my spending will become another personâ€™s income, leading to the multiplier effect. ",1,http://www.mediafire.com/?8te64039ecic999,,The Multiplier Effect,"National Income, Aggregate Demand and Supply, National Expenditure",How The Macroeconomy Works,Economics
253,Calculating The Multiplier Effect,How to visualise the multiplier effect numerically.,openlectures,http://youtu.be/Q3OQz8LvRDw,Calculate the multiplier K,What is the formula for the multiplier effect?,"The multiplier, K, equals 1/MPW.",2,http://www.mediafire.com/?1t2zjqul6796u5w,,The Multiplier Effect,"National Income, Aggregate Demand and Supply, National Expenditure",How The Macroeconomy Works,Economics
254,Explaining The Multiplier Effect Using The AE Model,How to demonstrate an understanding of the multiplier effect. ,openlectures,http://youtu.be/mIuM-E9Zz44,Show the diagrammatic â€œstep upâ€ù illustration of the multiplier and how this effect should be explained,How can we use the AE model to illustrate the multiplier effect?,We can use the â€œstep upâ€ù approach to illustrate the multiplier effect. ,3,http://www.mediafire.com/?4d47d72xbdmi1ud,,The Multiplier Effect,"National Income, Aggregate Demand and Supply, National Expenditure",How The Macroeconomy Works,Economics
255,The Multiplier In The Real World,What is the big deal with the multiplier anyway?,openlectures,http://youtu.be/gDxyzICMGjA,Understand the importance of the multiplier in the real world,What is the big deal with the multiplier anyway?,"The multiplier is the cornerstone of Keynesian economics, but it also has several limitations depending on the nature of the economy in question. ",4,http://www.mediafire.com/?1du7amnus4u4he7,,The Multiplier Effect,"National Income, Aggregate Demand and Supply, National Expenditure",How The Macroeconomy Works,Economics
256,Introduction To Fiscal Policy,Fiscal Policy is a really important policy that you will come across in Macroeconomics; master it well.,openlectures,http://youtu.be/kYXYkrOnuQw,Identify the role that Fiscal Policy plays in the entire Macroeconomic Framework,What is fiscal policy?,Fiscal policy is the deliberate manipulation of government spending and taxation to achieve the 4 main macroeconomic goals.,1,http://www.mediafire.com/?ipna1021fg7428l,,Basic Fiscal Policy,Fiscal Policy,How The Macroeconomy Works,Economics
257,Discretionary Vs Non-Discretionary Policy,"The main treatment of Fiscal Policy usually deals with deliberate government spending, but it is important to be introduced to alternative, and often less common forms of Fiscal Policy",openlectures,http://youtu.be/j6RNw8sneS8,Distinguish between progressive and regressive tax rates as well as distinguish the two kinds of fiscal policy,A decrease in capital gains tax is introduced to stimulate investment; is it regressive or progressive? Why?,Consider the propensity for rich or poor individuals to engage in private investment (bonds etc),2,http://www.mediafire.com/?h5mehiyce5d7k64,,Basic Fiscal Policy,Fiscal Policy,How The Macroeconomy Works,Economics
258,The Coffers,"Before one can evaluate Fiscal Policies, one must understand the composition of the government budget -- And, notably, which plays a larger part.",openlectures,http://youtu.be/yNyDAI3ivpA,Understand the composition of the government budget,What are the two components of the governemt budget?,Simple! Spending (outflow) and taxation receipts (inflow).,3,http://www.mediafire.com/?2iuarj69te6ytu4,,Basic Fiscal Policy,Fiscal Policy,How The Macroeconomy Works,Economics
259,Autonomous Increase,"It is important to clarify any misconceptions of what are injections and what are withdrawals in the circular flow of income; Private consumption and savings are within the circular flow whereas all other variables G,T,I,(X-M) are outside the circular flow and thus contribute to injections and withdrawals",openlectures,http://youtu.be/ap465Tlzf88,Recognise that government spending and taxation are outside the circular flow of income,Does the level of income change government spending?,No! They are autonomous (ie. the level of income does not change government spending). This is unlike consumption which is dependent on income.,4,http://www.mediafire.com/?q16algaofmdz6z6,,Basic Fiscal Policy,Fiscal Policy,How The Macroeconomy Works,Economics
260,The Multiplier Effect,While the multiplier effect is often a key argument for the implementation of fiscal policy; one must recognise that not all subscribe to the Keynesian view of Economics (see neoclassical arguments and expectations-augmented phillips curve),openlectures,http://youtu.be/v9zDldWSDao,Understand the underpinnings of Fiscal Policy and why the multiplier effect is such an important concept that is used to legitimise Fiscal Policy (from a Keynesian point of view),"In short, what is the multiplier effect?","It is the idea that one person's spending is another's income, and hence an increase in income has a more than proportionate effect on national output.",1,http://www.mediafire.com/?59vg928x48y3bbr,,The Mechanisms of Fiscal Policy,Fiscal Policy,How The Macroeconomy Works,Economics
261,A Numerical Example,"Often, in examinations, one is expected to provide a numerical (as well as an explanation in prose) of the multiplier process. This is important to demonstrate to the reader that you have understood the material.",openlectures,http://youtu.be/VCDnXeUd4X4,Understand how to use a numerical example of the multiplier.,"The MPC in Singapore is 0.1. The government makes an autonomous increase of government spending by 10m. State the net increase in NY. Show numerical explanation, and state your assumptions.","Consider the formula of the multiplier, and note that the MPC excludes information about MPT and (X-M).",2,http://www.mediafire.com/?61wq295757fa7e5,,The Mechanisms of Fiscal Policy,Fiscal Policy,How The Macroeconomy Works,Economics
262,Spend Or Tax?,It is important to the understand the policy implications of changes in G vs changes in T,openlectures,http://youtu.be/qy5NAvO3910,Distinguish between changes in G and T,"The MPC in Singapore is 0.1. The government makes an autonomous increase of government taxation by 10m. State the net decrease in NY. Show numerical explanation, and state your assumptions.","Consider the formula of the multiplier, and note that the MPC excludes information about MPT and (X-M).",3,http://www.mediafire.com/?0pzcwu086esm7ds,,The Mechanisms of Fiscal Policy,Fiscal Policy,How The Macroeconomy Works,Economics
263,Recession And Fiscal Policy,"One should recognise that the integrity of the sticky wage argument usually holds true in areas where the labour market does not clear; and also, that making labour markets more efficient (as in the introduction of a variable wage component) is an important policy outcome",openlectures,http://youtu.be/tXsHkdf0R-w,Understand the sticky wage argument and why Keynes argued for Fiscal Policy,Does sticky wages make unemployment worse?,"It does! Since wages do not drop in tandem with demand, there will be disequilibrium unemployment.",1,http://www.mediafire.com/?amk7r8846yklx2p,,Correcting a Recession,Fiscal Policy,How The Macroeconomy Works,Economics
264,Articulating Fiscal Policy,This portion of the lecture is mainly about how you should present your answer in the exam.,openlectures,http://youtu.be/qz-dB8KoRDI,Show how Fiscal Policy can be used in recessions using a numerical example accompanied with an explanation.,"During a recession, do we use expansionary of contractionary fiscal policy?","Expansionary. One should increase government spending or decrease taxation (or do both) to increase AD, and through the multiplier effect increase national output by a larger than proportionate amount.",2,http://www.mediafire.com/?8488047187qa1yf,,Correcting a Recession,Fiscal Policy,How The Macroeconomy Works,Economics
265,Stabilising Inflation,You have learnt that Fiscal Policy is often used in recessions; but most do not recognise its uses in achieving other Macroeconomic goals,openlectures,http://youtu.be/-4w5obBwjOo,Understand that Fiscal Policy plays a role in stabilising inflation,How can fiscal policy stabilise inflation?,"It can cool down the economy by lowering AD (through decreasing G or increasing T), hence reducing the demand for produce in the economy and pulling down the price level.",1,http://www.mediafire.com/?4cdgh9q2wvzb9aw,,Stabilising Inflation,Fiscal Policy,How The Macroeconomy Works,Economics
266,Deflation,It is important at this point to start being able to draw links between Fiscal Policy and other parts of Macroeconomics and seeing how they link together.,openlectures,http://youtu.be/giq-5CNIr7M,Demonstrate how Fiscal Policy can be used to curb deflation; and briefly establish the negative effects of deflation,Show using a diagram and explanation how Fiscal Policy can curb deflation. What policy options are available?,One can choose to adopt expansionary fiscal policy! This involves increasing G or decreasing T.,2,http://www.mediafire.com/?jzzba363g2iwb3h,,Stabilising Inflation,Fiscal Policy,How The Macroeconomy Works,Economics
267,Inflation,"Recognise that there is a paradoxical relationship between achieving low inflation and economic growth (see philips curves); recognise that supply-side policies often come into play for long run economic growth, and that fiscal policy used to curb deflation is often an extreme measure only used in desperate situations (see oil embargo crisis)",openlectures,http://youtu.be/ePMXwXWxkEE,Demonstrate how Fiscal Policy can be used to curb inflation; and briefly establish the negative effects of inflation,Show using a diagram and explanation how Fiscal Policy can curb inflation. What policy options are available?,One can choose to adopt contractionary fiscal policy! This involves decreasing G or increasing T.,3,http://www.mediafire.com/?uxvrml5nt5vrnqn,,Stabilising Inflation,Fiscal Policy,How The Macroeconomy Works,Economics
268,Balance Of Payments,You have just learnt that Fiscal Policy can help curb inflation; now draw links to inflation and a healthy BOP for yourself and think about how Fiscal Policy can come into play before watching this video.,openlectures,http://youtu.be/0ZZQ44PvGOA,Understand how Fiscal Policy can help to correct BOP deficits,A country is experiencing relatively higher inflation rates than its trading partners; Describe and explain the effect of this on the BOP. State your assumptions.,What is the compositions of the BOP? ,1,http://www.mediafire.com/?xsbex886is9hiad,,Correcting a Trade Deficit,Fiscal Policy,How The Macroeconomy Works,Economics
269,AD-AS Analysis,"Again, one must recognise the paradoxical relationship between a contractionary fiscal policy and achieving higher (X-M). The optimal trade-off is a difficult question to answer ( can be answered using indifference analysis which is beyond the scope of our discussion)",openlectures,http://youtu.be/xURrV275lVs,Use the AD/AS framework to show how Fiscal Policy can help to address relatively high inflation rates.,How is there a paradoxical relationship between contractionary fiscal policy and achieving higher (X-M)?,"In order to achieve higher net exports, we want to allow our currency to depreciate. This involves lowering inflation relative to other countries. This involves contractionary fiscal policy. However, contractionary policy causes AD to go down (in contrary to what we are trying to achieve with higher net exports). Hence there's a paradox here. Eventually it depends on which of the two (net exports or G/T) exerts a larger effect on AD.",2,http://www.mediafire.com/?bbluuxy94bd23gz,,Correcting a Trade Deficit,Fiscal Policy,How The Macroeconomy Works,Economics
270,Squeezing For Space,"So far, you have learnt how Fiscal Policy can be used in various situations; however, to demonstrate a true understanding of Fiscal Policy and to show you have thought about what you have learnt, you will need to be able to evaluate Fiscal Policy",openlectures,http://youtu.be/w9KRWUhvlFE,Recognise that the crowding out effect is an important consideration in whether to use Fiscal Policy,How does government spending crowd out investment?,"Excessive government spending forces the government to borrow money to fund its deficits. This increases the market interest rate, forcing investment down. For more information, look into monetary policy and the Marginal Efficiency of Investment.",1,http://www.mediafire.com/?wtcmczumuhbtdgm,,Evaluations,Fiscal Policy,How The Macroeconomy Works,Economics
271,Boing Boing Dead,"One must be cognisant of the fact that the size of the multiplier is contingent on geographic considerations; and hence, whether or not Fiscal Policy should be implemented (or how successful it may be) will vary from country to country ",openlectures,http://youtu.be/_sE9NL1A8jo,recognise that the size of the multiplier is an important consideration in whether to use Fiscal Policy,Consider a country with an MPM of 0.1 vs another with an MPM of 0.2. Which is more likely to implement Fiscal Policy? Why? State your assumptions.,"Consider the role that imports play in the circular flow, are they a form of injections of withdrawals? what is the implication of your answer?",2,http://www.mediafire.com/?8edmo4xkczmhkqx,,Evaluations,Fiscal Policy,How The Macroeconomy Works,Economics
